,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
465,EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,10,1,INE296H01011,10
466,EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10
467,EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5,1,INE01QM01018,5
468,ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10
469,ENERGYDEV,Energy Development Company Limited,EQ,02-NOV-2007,10,1,INE306C01019,10
470,ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5
471,ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10
472,EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2
473,EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1,1,INE217G01035,1
474,EQUITAS,Equitas Holdings Limited,EQ,21-APR-2016,10,1,INE988K01017,10
475,EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10
476,ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1
477,EROSMEDIA,Eros International Media Limited,EQ,06-OCT-2010,10,1,INE416L01017,10
478,ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10
479,ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10
480,ESSARSHPNG,Essar Shipping Limited,EQ,15-NOV-2011,10,1,INE122M01019,10
481,ESSENTIA,Integra Essentia Limited,BE,20-AUG-2013,1,1,INE418N01035,1
482,ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5
483,ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10,1,INE04TZ01018,10
484,EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10
485,EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5
486,EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10
487,EXCEL,Excel Realty N Infra Limited,BE,03-AUG-2009,1,1,INE688J01023,1
488,EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5
489,EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1
490,EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10
491,EXXARO,Exxaro Tiles Limited,EQ,16-AUG-2021,10,1,INE0GFE01018,10
492,FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10
493,FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10
494,FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10
495,FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2
496,FCONSUMER,Future Consumer Limited,EQ,04-JUL-2013,6,1,INE220J01025,6
497,FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1
498,FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1
499,FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2
500,FEL,Future Enterprises Limited,EQ,05-NOV-2001,2,1,INE623B01027,2
501,FELDVR,Future Enterprises Limited,EQ,13-FEB-2009,2,1,IN9623B01058,2
502,FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10,1,INE296C01020,10
503,FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
504,FILATEX,Filatex India Limited,EQ,29-AUG-2011,1,1,INE816B01027,1
505,FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
506,FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5
507,FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10
508,FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2
509,FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1
510,FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10
511,FLFL,Future Lifestyle Fashions Limited,EQ,01-OCT-2013,2,1,INE452O01016,2
512,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1
513,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
514,FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10
515,FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,10,1,INE593W01010,10
516,FOODSIN,Foods & Inns Limited,BE,16-NOV-2021,1,1,INE976E01023,1
517,FORCEMOT,FORCE MOTORS LTD,EQ,03-NOV-1994,10,1,INE451A01017,10
518,FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
519,FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10
520,FSC,Future Supply Chain Solutions Limited,BE,18-DEC-2017,10,1,INE935Q01015,10
521,FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
522,FUSION,Fusion Micro Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10
523,GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1
524,GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1
525,GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
526,GAL,Gyscoal Alloys Limited,EQ,27-OCT-2010,1,1,INE482J01021,1
527,GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10
528,GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10
529,GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5
530,GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10
531,GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1
532,GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10
533,GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1,1,INE691Z01023,1
534,GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10
535,GANGOTRI,Gangotri Textiles Limited,BE,07-APR-2006,5,1,INE670B01028,5
536,GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10
537,GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10
538,GATI,GATI Limited,EQ,10-OCT-2006,2,1,INE152B01027,2
539,GAYAHWS,Gayatri Highways Limited,EQ,28-JUN-2018,2,1,INE287Z01012,2
540,GAYAPROJ,Gayatri Projects Limited,BE,22-AUG-2011,2,1,INE336H01023,2
541,GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
542,GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,10,1,INE669X01016,10
543,GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5
544,GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5
545,GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1
546,GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1
547,GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1
548,GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
549,GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
550,GET&D,GE T&D India Limited,EQ,30-JUN-2008,2,1,INE200A01026,2
551,GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1
552,GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10
553,GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10
554,GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5
555,GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10,1,INE047B01011,10
556,GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
557,GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10
558,GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10
559,GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10
560,GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1
561,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10
562,GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1
563,GLFL,Gujarat Lease Financing Limited,EQ,08-FEB-1995,10,1,INE540A01017,10
564,GLOBAL,Global Education Limited,EQ,07-DEC-2020,5,1,INE291W01029,5
565,GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10
566,GLOBE,Globe Textiles (India) Limited,EQ,07-OCT-2020,2,1,INE581X01021,2
567,GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10,1,INE615I01010,10
568,GLS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2
569,GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10,1,INE075D01018,10
570,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2
571,GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2
572,GMRINFRA,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1
573,GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5,1,INE0CU601026,5
574,GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10
575,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10
576,GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10
577,GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2
578,GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10,1,INE0BJS01011,10
579,GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2
580,GODHA,Godha Cabcon & Insulation Limited,EQ,24-DEC-2020,1,1,INE925Y01036,1
581,GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10,1,INE850D01014,10
582,GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1
583,GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1
584,GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5
585,GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1,1,INE516K01024,1
586,GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5
587,GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,INE020J01029,2
588,GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,2,1,INE314T01025,2
589,GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10,1,INE973A01010,10
590,GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2,1,INE025B01025,2
591,GOLDTECH,Goldstone Technologies Limited,EQ,11-APR-2001,10,1,INE805A01014,10
592,GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2
593,GOODYEAR,Goodyear India Limited,EQ,28-DEC-1994,10,1,INE533A01012,10
594,GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,10,1,INE705X01018,10
595,GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,5,1,INE177H01021,5
596,GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10
597,GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,10,1,INE390G01014,10
598,GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1
599,GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2
600,GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2
601,GRAUWEIL,Grauer & Weil (India) Limited,EQ,05-AUG-2021,1,1,INE266D01021,1
602,GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,INE024L01027,2
603,GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2,1,INE224A01026,2
604,GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1,1,INE544R01021,1
605,GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1,1,INE08ZM01014,1
606,GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1
607,GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10
608,GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,5,1,INE536A01023,5
609,GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5,1,INE201P01022,5
610,GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2,1,INE192H01020,2
611,GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10,1,INE646C01018,10
612,GRPLTD,GRP Limited,EQ,12-FEB-2015,10,1,INE137I01015,10
613,GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10,1,INE382Z01011,10
614,GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,10,1,INE291A01017,10
615,GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,15-MAY-2013,10,1,INE542A01039,10
616,GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,2,1,INE026A01025,2
617,GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10
618,GSS,GSS Infotech Limited,EQ,07-MAR-2008,10,1,INE871H01011,10
619,GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10
620,GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10,1,INE221H01019,10
621,GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10,1,INE869I01013,10
622,GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1,1,INE742B01025,1
623,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10,1,INE186A01019,10
624,GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10,1,INE826C01016,10
625,GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2
626,GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10,1,INE610B01024,10
627,GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2,1,INE635Q01029,2
628,GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5,1,INE586G01017,5
629,GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1,1,INE255D01024,1
630,GVKPIL,GVK Power & Infrastructure Limited,EQ,27-FEB-2006,1,1,INE251H01024,1
631,HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,10,1,INE066F01012,10
632,HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2
633,HARDWYN,Hardwyn India Limited,EQ,12-APR-2022,10,1,INE626Z01011,10
634,HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,INE00EV01017,10
635,HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10,1,INE544A01019,10
636,HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10,1,INE0JUS01029,10
637,HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2,1,INE982F01036,2
638,HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1,1,INE473B01035,1
639,HATSUN-RE,Hatsun Agro Prod Ltd-RE,BE,19-DEC-2022,1,1,INE473B20019,1
640,HAVELLS,Havells India Limited,EQ,21-MAR-2001,1,1,INE176B01034,1
641,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE,16-FEB-2000,2,1,INE293B01029,2
642,HBLPOWER,HBL Power Systems Limited,EQ,04-JAN-2007,1,1,INE292B01021,1
643,HBSL,HB Stockholdings Limited,EQ,23-JUL-2018,10,1,INE550B01022,10
644,HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1,1,INE549A01026,1
645,HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10,1,INE075I01017,10
646,HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2,1,INE236A01020,2
647,HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2,1,INE860A01027,2
648,HDFC,Housing Development Finance Corporation Limited,EQ,23-OCT-1996,2,1,INE001A01036,2
649,HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5
650,HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1
651,HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10,1,INE795G01014,10
652,HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10,1,INE191I01012,10
653,HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,10,1,INE759V01019,10
654,HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,10,1,INE558R01013,10
655,HEG,HEG Limited,EQ,10-MAY-1995,10,1,INE545A01016,10
656,HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10,1,INE578A01017,10
657,HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10,1,INE0AJG01018,10
658,HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10,1,INE694N01015,10
659,HERCULES,Hercules Hoists Limited,EQ,19-FEB-2008,1,1,INE688E01024,1
660,HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5,1,INE978A01027,5
661,HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2,1,INE158A01026,2
662,HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10,1,INE782E01017,10
663,HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2,1,INE750M01017,2
664,HFCL,HFCL Limited,EQ,09-MAR-2011,1,1,INE548A01028,1
665,HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10,1,INE926X01010,10
666,HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10,1,INE170I01016,10
667,HIKAL,Hikal Limited,EQ,14-FEB-2001,2,1,INE475B01022,2
668,HIL,HIL Limited,EQ,26-APR-1995,10,1,INE557A01011,10
669,HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10,1,INE788H01017,10
670,HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5,1,INE049A01027,5
671,HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1,1,INE038A01020,1
672,HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,5,1,INE310C01029,5
673,HINDCON,Hindcon Chemicals Limited,EQ,05-JUL-2021,10,1,INE642Y01011,10
674,HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5,1,INE531E01026,5
675,HINDMOTORS,Hindustan Motors Limited,BE,21-FEB-2011,5,1,INE253A01025,5
676,HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10,1,INE345A01011,10
677,HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10,1,INE094A01015,10
678,HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1
679,HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2,1,INE05AN01011,2
680,HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,2,1,INE267A01025,2
681,HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,2,1,INE835D01023,2
682,HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017,10,1,INE598C01011,10
683,HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,10,1,INE106T01017,10
684,HITECHCORP,Hitech Corporation Limited,EQ,20-DEC-2007,10,1,INE120D01012,10
685,HITECHGEAR,The Hi-Tech Gears Limited,EQ,21-JAN-2002,10,1,INE127B01011,10
686,HLEGLAS,HLE Glascoat Limited,EQ,22-FEB-2021,2,1,INE461D01028,2
687,HLVLTD,HLV LIMITED,EQ,19-JUL-1995,2,1,INE102A01024,2
688,HMT,HMT Limited,BZ,29-AUG-2003,10,1,INE262A01018,10
689,HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10,1,INE871K01015,10
690,HNDFDS,Hindustan Foods Limited,BE,19-AUG-2019,2,1,INE254N01026,2
691,HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2
692,HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,10,1,INE671A01010,10
693,HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,10,1,INE634A01018,10
694,HOVS,HOV Services Limited,EQ,27-SEP-2006,10,1,INE596H01014,10
695,HPAL,HP Adhesives Limited,EQ,27-DEC-2021,10,1,INE0GSL01016,10
696,HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10,1,INE05X901010,10
697,HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,10,1,INE495S01016,10
698,HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,1,1,INE019C01026,1
699,HTMEDIA,HT Media Limited,EQ,01-SEP-2005,2,1,INE501G01024,2
700,HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10,1,INE703H01016,10
701,HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10,1,INE031A01017,10
702,HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,2,1,INE275B01026,2
703,HYBRIDFIN,Hybrid Financial Services Limited,EQ,05-DEC-2022,5,1,INE965B01022,5
704,IBREALEST,Indiabulls Real Estate Limited,EQ,23-MAR-2007,2,1,INE069I01010,2
705,IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2,1,INE148I01020,2
706,ICDSLTD,ICDS Limited,BE,17-NOV-1999,10,1,INE613B01010,10
707,ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10,1,INE520Y01019,10
708,ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,2,1,INE090A01021,2
709,ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10,1,INE765G01017,10
710,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10,1,INE726G01019,10
711,ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,2,1,INE483B01026,2
712,ICRA,ICRA Limited,EQ,13-APR-2007,10,1,INE725G01011,10
713,IDBI,IDBI Bank Limited,EQ,20-SEP-1995,10,1,INE008A01015,10
714,IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10
715,IDFC,IDFC Limited,EQ,12-AUG-2005,10,1,INE043D01016,10
716,IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,10,1,INE092T01019,10
717,IEL,Indiabulls Enterprises Limited,BE,27-DEC-2022,2,1,INE059901020,2
718,IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1
719,IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,10,1,INE076C01018,10
720,IFBIND,IFB Industries Limited,EQ,29-MAR-1995,10,1,INE559A01017,10
721,IFCI,IFCI Limited,EQ,26-APR-1995,10,1,INE039A01010,10
722,IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,10,1,INE133Y01011,10
723,IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,10,1,INE188B01013,10
724,IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2
725,IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,10,1,INE204A01010,10
726,IIFL,IIFL Finance Limited,EQ,17-MAY-2005,2,1,INE530B01024,2
727,IIFLSEC,IIFL Securities Limited,EQ,20-SEP-2019,2,1,INE489L01022,2
728,IIFLWAM,Iifl Wealth Management Limited,EQ,19-SEP-2019,2,1,INE466L01020,2
729,IITL,Industrial Investment Trust Limited,EQ,17-AUG-2010,10,1,INE886A01014,10
730,IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-OCT-2007,10,1,INE369I01014,10
731,IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-MAR-2010,10,1,INE975G01012,10
732,IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10,1,INE172N01012,10
733,IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10,1,INE919H01018,10
734,IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10,1,INE547E01014,10
735,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,01-JUL-2016,10,1,INE452L01012,10
736,INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10,1,INE841B01017,10
737,INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,1,1,INE053A01029,1
738,INDIACEM,The India Cements Limited,EQ,31-MAY-2000,10,1,INE383A01012,10
739,INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,10,1,INE560A01015,10
740,INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10
741,INDIANB,Indian Bank,EQ,01-MAR-2007,10,1,INE562A01011,10
742,INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997,10,1,INE061A01014,10
743,INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2,1,INE323C01030,2
744,INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,10,1,INE646L01027,10
745,INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10,1,INE09VQ01012,10
746,INDLMETER,IMP Powers Limited,BZ,10-JAN-1996,10,1,INE065B01013,10
747,INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,5,1,INE092B01025,5
748,INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,5,1,INE760F01028,5
749,INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,1,1,INE803D01021,1
750,INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2,1,INE873D01024,2
751,INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10,1,INE156A01020,10
752,INDOSTAR,IndoStar Capital Finance Limited,BE,21-MAY-2018,10,1,INE896L01010,10
753,INDOTECH,Indo Tech Transformers Limited,EQ,16-MAR-2006,10,1,INE332H01014,10
